Date,600519.SS.Open,600519.SS.High,600519.SS.Low,600519.SS.Close,600519.SS.Volume,600519.SS.Adjusted
2002/1/1,7.49683,7.82122,7.45504,7.67196,0,5.090178
2002/1/2,7.49683,7.82122,7.45504,7.67196,0,5.090178
2002/1/3,7.49683,7.82122,7.45504,7.67196,0,5.090178
2002/1/4,7.70579,7.72171,7.45305,7.47295,14626976,4.95814
2002/1/7,7.39334,7.463,7.29981,7.43314,9518437,4.931726
2002/1/8,7.36349,7.48091,7.26,7.28189,6676259,4.831375
2002/1/9,7.26398,7.39931,7.23413,7.33762,5329706,4.868351
2002/1/10,7.35951,7.44111,7.23413,7.41125,9454421,4.917203
2002/1/11,7.36548,7.39135,7.16448,7.17443,5946715,4.760078
2002/1/14,7.10477,7.24408,7.05104,7.18438,9405660,4.766679
2002/1/15,7.1605,7.37344,7.14657,7.27194,9168943,4.824774
2002/1/16,7.26,7.35752,7.04507,7.23413,7021809,4.799687
2002/1/17,7.20428,7.26199,6.90576,6.9774,12150101,4.629353
2002/1/18,6.92566,7.33961,6.90576,7.29384,16211022,4.839304
2002/1/21,7.22418,7.28388,7.08089,7.13861,7917026,4.736313
2002/1/22,7.12467,7.35354,7.12467,7.25204,6776268,4.81157
2002/1/23,7.29384,7.49285,7.20428,7.48688,11726094,4.967382
2002/1/24,7.43513,7.53663,7.32369,7.4212,13373884,4.923804
2002/1/25,7.41125,7.47693,7.32369,7.38339,7005122,4.898718
2002/1/28,7.36349,7.4212,7.02517,7.06298,10887627,4.686133
2002/1/29,7.00527,7.20428,6.96148,7.09681,5965432,4.708579
2002/1/30,7.08487,7.2202,7.00527,7.08089,4230482,4.698016
2002/1/31,7.16448,7.5625,7.16448,7.4829,20515368,4.964741
2002/2/1,7.463,7.55852,7.34359,7.37543,8715515,4.893437
2002/2/4,7.39931,7.59236,7.36349,7.54658,8296026,5.00699
2002/2/5,7.54857,7.69783,7.48887,7.5426,5625621,5.004351
2002/2/6,7.53464,7.58439,7.3814,7.39931,4858239,4.90928
2002/2/7,7.39931,7.54658,7.38737,7.44509,3360666,4.939655
2002/2/8,7.4829,7.60231,7.47892,7.49285,6315816,4.971342
2002/2/11,7.4829,7.60231,7.47892,7.49285,0,4.971342
2002/2/12,7.4829,7.60231,7.47892,7.49285,0,4.971342
2002/2/13,7.4829,7.60231,7.47892,7.49285,0,4.971342
2002/2/14,7.4829,7.60231,7.47892,7.49285,0,4.971342
2002/2/15,7.4829,7.60231,7.47892,7.49285,0,4.971342
2002/2/18,7.4829,7.60231,7.47892,7.49285,0,4.971342
2002/2/19,7.4829,7.60231,7.47892,7.49285,0,4.971342
2002/2/20,7.4829,7.60231,7.47892,7.49285,0,4.971342
2002/2/21,7.4829,7.60231,7.47892,7.49285,0,4.971342
2002/2/22,7.4829,7.60231,7.47892,7.49285,0,4.971342
2002/2/25,7.49285,7.49285,7.49285,7.49285,0,4.971342
2002/2/26,7.56051,7.66201,7.45305,7.51673,7444726,4.987186
2002/2/27,7.53265,7.5824,7.463,7.54857,4165959,5.008312
2002/2/28,7.5625,7.65405,7.51872,7.5625,6284496,5.017554
2002/3/1,7.55255,7.59236,7.40329,7.44111,3729124,4.937014
2002/3/4,7.43314,7.57842,7.38737,7.57046,2625378,5.022835
2002/3/5,7.57444,7.78142,7.53464,7.67992,11149444,5.095459
2002/3/6,7.72171,7.77744,7.56648,7.63415,9356232,5.065092
2002/3/7,7.60231,7.68191,7.57245,7.66201,6841766,5.083577
2002/3/8,7.67196,7.91675,7.67196,7.88689,17750984,5.23278
2002/3/11,7.89884,7.89884,7.77545,7.85107,8846647,5.209014
2002/3/12,7.85107,7.85107,7.66201,7.66201,8668694,5.083577
2002/3/13,7.6242,7.72171,7.60032,7.61027,3916317,5.049248
2002/3/14,7.58439,7.70181,7.57245,7.68589,3209706,5.09942
2002/3/15,7.56648,7.74162,7.53265,7.54658,5975924,5.00699
2002/3/18,7.58638,7.72171,7.5426,7.5625,3050184,5.017554
2002/3/19,7.5824,7.73763,7.56648,7.71176,3403814,5.116584
2002/3/20,7.72171,7.86102,7.70181,7.75555,7552929,5.145638
2002/3/21,7.82122,7.87296,7.69385,7.7456,7555884,5.139037
2002/3/22,7.7456,7.76152,7.64609,7.66997,4006145,5.088858
2002/3/25,7.66002,7.74162,7.62221,7.71773,2168233,5.120546
2002/3/26,7.70181,7.72171,7.58638,7.60231,3135012,5.043967
2002/3/27,7.59236,7.65405,7.54459,7.5824,2507878,5.030757
2002/3/28,7.56449,7.61823,7.5625,7.56449,2658903,5.018874
2002/3/29,7.5625,7.57245,7.38339,7.41523,5339077,4.919843
2002/4/1,7.39533,7.52071,7.38737,7.4829,1389882,4.964741
2002/4/2,7.48489,7.51474,7.32568,7.36747,3682835,4.888155
2002/4/3,7.36747,7.42319,7.32767,7.35951,3024648,4.882874
2002/4/4,7.35752,7.4829,7.26597,7.47892,2593511,4.962101
2002/4/5,7.51872,7.55056,7.38339,7.41921,1530979,4.922485
2002/4/8,7.42319,7.4431,7.35354,7.36349,1155933,4.885514
2002/4/9,7.36349,7.463,7.33961,7.44907,1653945,4.942297
2002/4/10,7.44907,7.51673,7.40329,7.45902,1720403,4.948896
2002/4/11,7.46101,7.53862,7.44509,7.46101,3415848,4.950218
2002/4/12,7.48688,7.60629,7.46698,7.5625,2270844,5.017554
2002/4/15,7.65405,7.66201,7.4829,7.54061,1470224,5.00303
2002/4/16,7.53862,7.62221,7.53862,7.61425,3033039,5.051888
2002/4/17,7.66201,7.66201,7.33364,7.35951,6642412,4.882874
2002/4/18,7.36349,7.4013,7.2401,7.24209,4290242,4.804969
2002/4/19,7.24209,7.25403,7.14259,7.20826,4449111,4.782523
2002/4/22,7.16448,7.24408,7.14458,7.20229,2067023,4.778562
2002/4/23,7.20229,7.20229,7.06696,7.06895,2054245,4.690094
2002/4/24,7.06497,7.1406,6.99731,7.01323,2537962,4.653125
2002/4/25,6.98536,7.10079,6.98536,7.06696,1304818,4.688773
2002/4/26,7.06497,7.1804,7.04507,7.16846,1196518,4.756117
2002/4/29,7.20428,7.36349,7.20428,7.23413,2344171,4.799687
2002/4/30,7.26,7.28388,7.15453,7.20428,3004056,4.779882
2002/5/1,7.26,7.28388,7.15453,7.20428,0,4.779882
2002/5/2,7.26,7.28388,7.15453,7.20428,0,4.779882
2002/5/3,7.26,7.28388,7.15453,7.20428,0,4.779882
2002/5/6,7.26,7.28388,7.15453,7.20428,0,4.779882
2002/5/7,7.26,7.28388,7.15453,7.20428,0,4.779882
2002/5/8,7.22617,7.26398,7.16846,7.21423,854461,4.786485
2002/5/9,7.16448,7.25403,7.16448,7.17045,860350,4.757437
2002/5/10,7.17443,7.19035,7.09482,7.09681,1350915,4.708579
2002/5/13,7.0789,7.10477,7.04109,7.04507,1422388,4.674251
2002/5/14,7.04507,7.26,7.00726,7.06099,2547584,4.684813
2002/5/15,7.10079,7.10278,7.00527,7.03313,1127714,4.666328
2002/5/16,7.01522,7.03711,6.94755,6.9575,2788674,4.616149
2002/5/17,6.94357,7.08288,6.91571,6.97342,1939409,4.626712
2002/5/20,6.96347,6.96347,6.86596,6.86795,1685159,4.556735
2002/5/21,7.07293,7.07293,6.94556,6.97143,2867648,4.625391
2002/5/22,6.98536,7.06099,6.95551,6.96944,1494403,4.624071
2002/5/23,7.1406,7.1406,6.98536,7.00527,813966,4.647844
2002/5/24,6.96745,7.00527,6.90178,6.94357,1209643,4.606907
2002/5/27,6.96546,7.03313,6.94357,6.98736,830729,4.635961
2002/5/28,7.00527,7.07492,6.98536,6.99731,1313933,4.642563
2002/5/29,7.00726,7.04109,6.8978,6.91969,1349026,4.591063
2002/5/30,6.94158,6.9774,6.88586,6.9376,985990,4.602946
2002/5/31,6.96546,6.99731,6.92566,6.95551,907528,4.614829
2002/6/3,6.94556,6.96745,6.86795,6.95153,1150788,4.612189
2002/6/4,6.94556,6.96546,6.76645,6.86596,992899,4.555415
2002/6/5,6.86596,6.86596,6.78635,6.8361,1117890,4.535603
2002/6/6,6.84208,7.059,6.78635,6.96347,2892973,4.62011
2002/6/7,6.92566,6.99731,6.88785,6.94954,1820060,4.610869
2002/6/10,6.96546,6.97541,6.86795,6.89382,920808,4.573899
2002/6/11,6.91571,6.96944,6.89581,6.92964,773416,4.597665
2002/6/12,6.92566,6.98935,6.87591,6.98736,1046262,4.635961
2002/6/13,6.98536,7.02517,6.94158,6.94556,815524,4.608227
2002/6/14,6.94556,7.00527,6.88586,6.89581,475903,4.57522
2002/6/17,6.87591,6.8978,6.82615,6.89581,682417,4.57522
2002/6/18,6.90576,6.98138,6.90377,6.95949,822553,4.61747
2002/6/19,6.94556,6.96546,6.90576,6.91173,418816,4.585782
2002/6/20,6.96148,6.97541,6.9177,6.94158,662870,4.605587
2002/6/21,6.96546,7.10477,6.94158,7.06298,2143832,4.686133
2002/6/24,7.76948,7.76948,7.36349,7.59833,30779062,5.041326
2002/6/25,7.59833,7.59833,7.59833,7.59833,0,5.041326
2002/6/26,7.41921,7.4431,7.27592,7.33364,7749735,4.86571
2002/6/27,7.34359,7.39931,7.28388,7.31971,2804728,4.856468
2002/6/28,7.30379,7.43912,7.30379,7.36946,5408550,4.889476
2002/7/1,7.37941,7.46101,7.31971,7.32369,2170710,4.859108
2002/7/2,7.32369,7.32369,7.2799,7.31374,1977291,4.852507
2002/7/3,7.31374,7.33364,7.26398,7.29583,2679781,4.840623
2002/7/4,7.29981,7.30379,7.16448,7.17841,3351470,4.762718
2002/7/5,7.17642,7.2003,7.16448,7.19632,3424732,4.774602
2002/7/8,7.2003,7.25602,7.18438,7.19831,1604275,4.775922
2002/7/9,7.2003,7.21224,7.17045,7.18836,1770350,4.769321
2002/7/10,7.18836,7.21224,7.09482,7.10875,2322855,4.7165
2002/7/11,7.09084,7.21423,7.09084,7.15055,1184650,4.744234
2002/7/12,7.16249,7.2003,7.12467,7.17045,798183,4.757437
2002/7/15,7.16647,7.19632,7.14458,7.14657,657534,4.741594
2002/7/16,7.10079,7.19035,7.10079,7.14458,1163988,4.740273
2002/7/17,7.15453,7.16448,7.09482,7.14458,674422,4.740273
2002/7/18,7.17443,7.26199,7.16448,7.21224,2961557,4.785164
2002/7/19,7.23811,7.25602,7.21622,7.24209,1264685,4.804969
2002/7/22,7.29981,7.30379,7.23015,7.24408,3066916,4.806289
2002/7/23,7.25403,7.25403,7.16647,7.21423,1457983,4.786485
2002/7/24,7.22418,7.26199,7.18438,7.24408,2343497,4.806289
2002/7/25,7.1388,7.18259,7.02935,7.07313,776750,5.074998
2002/7/26,7.11472,7.11472,7.02059,7.03373,711803,5.046728
2002/7/29,7.04905,7.06656,6.91332,6.9374,1168255,4.977612
2002/7/30,6.93521,6.95054,6.89143,6.90019,1574112,4.950913
2002/7/31,6.90019,6.93959,6.84108,6.8564,1178473,4.919494
2002/8/1,6.84765,6.89362,6.81919,6.83889,914005,4.90693
2002/8/2,6.85203,6.95711,6.7973,6.88048,572771,4.936771
2002/8/5,6.88267,6.89581,6.84108,6.8564,492484,4.919494
2002/8/6,6.8564,6.91332,6.83451,6.8783,955793,4.935207
2002/8/7,6.88048,6.89581,6.86297,6.8783,619324,4.935207
2002/8/8,6.8783,6.91113,6.83013,6.84984,577668,4.914786
2002/8/9,6.83232,6.86297,6.77322,6.78197,1137521,4.86609
2002/8/12,6.74257,6.76008,6.69879,6.69879,1028027,4.806407
2002/8/13,6.72068,6.72068,6.655,6.69879,778445,4.806407
2002/8/14,6.78197,6.78197,6.69879,6.78197,1129418,4.86609
2002/8/15,6.78197,6.78197,6.73162,6.73381,575361,4.831533
2002/8/16,6.67689,6.75789,6.63311,6.74257,1023678,4.837819
2002/8/19,6.74038,6.76446,6.70097,6.71192,506572,4.815827
2002/8/20,6.6966,6.78416,6.6966,6.76446,1083578,4.853526
2002/8/21,6.78635,6.78635,6.736,6.76446,774051,4.853526
2002/8/22,6.78635,6.86735,6.76446,6.82576,1927848,4.89751
2002/8/23,6.81919,6.86297,6.81919,6.8367,1110666,4.905359
2002/8/26,6.81919,6.81919,6.71849,6.72724,1202063,4.826821
2002/8/27,6.72724,6.76446,6.69879,6.75351,1180556,4.84567
2002/8/28,6.76227,6.81262,6.67689,6.69003,1720224,4.800122
2002/8/29,6.68784,6.7163,6.66595,6.67471,1324430,4.789129
2002/8/30,6.69003,6.69003,6.65938,6.67033,861834,4.785987
2002/9/2,6.66595,6.67689,6.64406,6.655,1069504,4.774987
2002/9/3,6.655,6.76008,6.655,6.70535,1040136,4.811114
2002/9/4,6.70535,6.74038,6.65938,6.6966,817072,4.804836
2002/9/5,6.68127,6.68127,6.63311,6.63311,1321835,4.759283
2002/9/6,6.64406,6.66814,6.61122,6.64406,849473,4.767138
2002/9/9,6.63311,6.64406,6.57182,6.58276,1194027,4.723155
2002/9/10,6.56744,6.58933,6.4536,6.47987,3680486,4.649331
2002/9/11,6.44922,6.47987,6.26096,6.37041,4497321,4.570794
2002/9/12,6.34852,6.40325,6.29817,6.36385,784137,4.566087
2002/9/13,6.35071,6.38793,6.33101,6.38355,489565,4.580222
2002/9/16,6.3726,6.38574,6.28066,6.28285,1792256,4.507969
2002/9/17,6.29379,6.36604,6.26533,6.32663,1193840,4.539381
2002/9/18,6.34633,6.34633,6.28942,6.32006,738215,4.534668
2002/9/19,6.30474,6.38136,6.25439,6.34852,1667386,4.555088
2002/9/20,6.34196,6.34196,6.27628,6.28942,627176,4.512683
2002/9/23,6.27847,6.28942,6.21717,6.22374,968917,4.465558
2002/9/24,6.21717,6.22374,6.10772,6.12523,3265447,4.394876
2002/9/25,6.12523,6.25001,6.12523,6.19528,1624876,4.445138
2002/9/26,6.20842,6.20842,6.1318,6.13618,990373,4.402732
2002/9/27,6.15588,6.20623,6.12523,6.16901,687688,4.426287
2002/9/30,6.16901,6.16901,6.16901,6.16901,0,4.426287
2002/10/1,6.16901,6.16901,6.16901,6.16901,0,4.426287
2002/10/2,6.16901,6.16901,6.16901,6.16901,0,4.426287
2002/10/3,6.16901,6.16901,6.16901,6.16901,0,4.426287
2002/10/4,6.16901,6.16901,6.16901,6.16901,0,4.426287
2002/10/7,6.16901,6.16901,6.16901,6.16901,0,4.426287
2002/10/8,6.16245,6.16245,6.11428,6.14712,1639804,4.410582
2002/10/9,6.12961,6.14055,6.03766,6.0705,1123137,4.355608
2002/10/10,6.06393,6.13618,6.05299,6.08145,496847,4.363463
2002/10/11,6.05956,6.10772,6.02015,6.03766,555947,4.332044
2002/10/14,6.10772,6.10772,6.02453,6.04642,500328,4.338329
2002/10/15,6.04204,6.08364,6.0311,6.08145,943720,4.363463
2002/10/16,6.08145,6.1712,6.07926,6.10991,1032974,4.383883
2002/10/17,6.10991,6.12961,6.02015,6.03985,714799,4.333616
2002/10/18,6.02015,6.05956,5.81218,5.8691,2117415,4.211102
2002/10/21,5.86472,5.97199,5.81218,5.87786,751914,4.217387
2002/10/22,5.90413,6.0311,5.8888,5.99388,961887,4.300632
2002/10/23,6.0092,6.0092,5.91726,5.93915,493699,4.261363
2002/10/24,5.93258,5.99388,5.93258,5.93477,443369,4.258221
2002/10/25,5.93477,5.93696,5.82313,5.83407,1081755,4.185968
2002/10/28,5.82313,5.82313,5.66989,5.68302,2042591,4.077589
2002/10/29,5.80124,5.80124,5.6064,5.73775,1461159,4.116857
2002/10/30,5.74651,5.75745,5.68302,5.69835,929847,4.088588
2002/10/31,5.69835,5.79686,5.69178,5.71148,1286940,4.098009
2002/11/1,5.70929,5.75089,5.68302,5.73994,672038,4.118429
2002/11/4,5.73994,5.83626,5.73994,5.83626,911328,4.187538
2002/11/5,5.84502,5.95448,5.80343,5.89099,1592119,4.226808
2002/11/6,5.89975,5.90632,5.84502,5.8494,741225,4.196966
2002/11/7,5.85596,5.87786,5.80561,5.82969,1103864,4.182825
2002/11/8,5.95448,5.95448,5.68302,5.70929,1241379,4.096437
2002/11/11,5.72024,5.7684,5.65019,5.69397,860071,4.085445
2002/11/12,5.70272,5.75307,5.63705,5.648,1094441,4.052461
2002/11/13,5.64362,5.68959,5.61954,5.68521,892439,4.07916
