代码,时间,开盘价,最高价,最低价,收盘价,成交量,成交金额
SH600000,2016/8/18 9:31,16.55,16.6,16.55,16.59,2148,3557997
SH600000,2016/8/18 9:32,16.6,16.63,16.59,16.6,1561,2592700
SH600000,2016/8/18 9:33,16.59,16.63,16.59,16.62,1213,2012723
SH600000,2016/8/18 9:34,16.62,16.63,16.6,16.63,1318,2190004
SH600000,2016/8/18 9:35,16.62,16.62,16.59,16.6,641,1063993
SH600000,2016/8/18 9:36,16.63,16.63,16.6,16.6,1057,1756690
SH600000,2016/8/18 9:37,16.63,16.63,16.62,16.62,471,783309
SH600000,2016/8/18 9:38,16.63,16.66,16.62,16.66,1557,2591260
SH600000,2016/8/18 9:39,16.66,16.67,16.65,16.66,1467,2442564
SH600000,2016/8/18 9:40,16.66,16.67,16.63,16.63,1365,2273530
SH600000,2016/8/18 9:41,16.64,16.66,16.62,16.65,777,1293610
SH600000,2016/8/18 9:42,16.64,16.67,16.64,16.66,934,1556162
SH600000,2016/8/18 9:43,16.65,16.68,16.65,16.68,1677,2794894
SH600000,2016/8/18 9:44,16.69,16.75,16.68,16.71,1966,3286312
SH600000,2016/8/18 9:45,16.71,16.74,16.71,16.74,2142,3586976
SH600000,2016/8/18 9:46,16.74,16.76,16.73,16.75,1997,3344892
SH600000,2016/8/18 9:47,16.75,16.75,16.7,16.73,1901,3180808
SH600000,2016/8/18 9:48,16.72,16.74,16.72,16.72,827,1383168
SH600000,2016/8/18 9:49,16.74,16.74,16.7,16.72,793,1325784
SH600000,2016/8/18 9:50,16.72,16.72,16.69,16.69,456,763016
SH600000,2016/8/18 9:51,16.68,16.71,16.68,16.7,1061,1770940
SH600000,2016/8/18 9:52,16.69,16.71,16.68,16.7,812,1356156
SH600000,2016/8/18 9:53,16.7,16.7,16.66,16.66,748,1247432
SH600000,2016/8/18 9:54,16.67,16.68,16.66,16.67,1157,1927712
SH600000,2016/8/18 9:55,16.67,16.7,16.67,16.69,1125,1876700
SH600000,2016/8/18 9:56,16.69,16.69,16.66,16.66,1395,2325080
SH600000,2016/8/18 9:57,16.69,16.69,16.66,16.66,1396,2328900
SH600000,2016/8/18 9:58,16.67,16.69,16.67,16.69,854,1424688
SH600000,2016/8/18 9:59,16.67,16.68,16.63,16.63,3376,5625804
SH600000,2016/8/18 10:00,16.62,16.62,16.6,16.62,1251,2078356
